Name,Link,Prize Pool,Buy In,Top Prize,Max Entries,Entries,Cash Line,Winner,Winning Score,Week
NFL $5M Roman Fantasy Football Millionaire [$1M to 1st],Contest,5000000.0,20.0,1000000,150,281924,180.34,chalk,301.18,Week 1
NFL $1.5M Wildcat [$250K to 1st],Contest,1500000.0,333.0,250000,150,5005,188.76,fjbourne,271.78,Week 1
NFL $600K Luxury Box [$150K to 1st],Contest,600000.0,2120.0,150000,9,300,204.46,BrandonAdams,257.7,Week 1
NFL $500K Week 1 Heavy Hitter [$200K to 1st],Contest,500000.0,26200.0,200000,1,19,223.86,dandydon,250.68,Week 1
NFL $500K Slant [$50K to 1st],Contest,500000.0,9.0,50000,150,65359,186.88,soapmeas,281.16,Week 1
"NFL $400K Power Sweep [3 Entry Max, $100K to 1st]",Contest,400000.0,150.0,100000,3,2962,197.56,bdiddy92,268.26,Week 1
NFL MASSIVE $25 Double Up,Contest,400000.0,25.0,50,150,16950,204.82,youdacao,283.48,Week 1
NFL $200K Thunderdome [Single Entry],Contest,200000.0,5300.0,60000,1,38,210.06,dandydon,250.68,Week 1
NFL MASSIVE $5 Double Up,Contest,150000.0,5.0,10,150,34482,203.02,youdacao,283.48,Week 1
NFL $150K Nickel [3 Entry Max],Contest,150000.0,5.0,20000,3,35671,180.24,tonlocster,279.94,Week 1
NFL $150K Fair Catch [Single Entry],Contest,150000.0,12.0,15000,1,14705,184.26,Jayjdee,272.96,Week 1
"NFL $150K Power Sweep [3 Entry Max, $30K to 1st]",Contest,150000.0,150.0,30000,3,1111,194.56,thechubasco,254.26,Week 1
$10M Fantasy Football World Championship Double Qualifier #6-7,Contest,129222.2,500.0,1000,9,270,225.86,rayofhope,254.26,Week 1
NFL $100K Spy [Single Entry],Contest,100000.0,100.0,10000,1,1111,191.58,nlangen,277.56,Week 1
NFL $100K Engage Eight [3 Entry Max],Contest,100000.0,8.0,10000,3,14705,187.26,lober202,275.76,Week 1
NFL $100K Flea Flicker [$10K to 1st],Contest,100000.0,5.0,10000,150,23781,183.26,I-HATE-PANTS,285.78,Week 1
NFL MASSIVE $25 Double Up [Single Entry],Contest,100000.0,25.0,50,1,4597,186.76,PetrGibbons,272.18,Week 1
NFL MASSIVE $5 Double Up,Contest,100000.0,5.0,10,150,22988,206.42,youdacao,283.48,Week 1
