player,pos,age,game_date,league_id,team,game_location,opp,game_result,game_num,week_num,game_day_of_week,sacks,tackles_solo,tackles_assists,tackles_combined,tackles_loss,qb_hits
Desmond Trufant,CB,27.361,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,6,0,6,0,0
Derrick Shelby,DE,29.186,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,2,0,2,0,0
Deadrin Senat,NT,24.046,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,2,1,3,0,0
Duke Riley,LB,24.028,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,1,2,0,0
Brian Poole,CB,25.321,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,1.0,6,0,6,1,1
Foyesade Oluokun,LB,23.035,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0
Keanu Neal,S,23.042,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,1,2,0,0
Takkarist McKinley,DE,22.308,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,1.0,1,0,1,1,2
Terrell McClain,DT,30.048,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0
Damontae Kazee,S,25.093,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,3,0,3,0,0
Deion Jones,LB,23.306,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,5,9,0,0
Grady Jarrett,DT,25.131,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,3,2,5,0,1
Kemal Ishmael,S,27.123,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,1,2,0,0
Jack Crawford,DL,29.364,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0
De'Vondre Campbell,LB,25.065,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,2,6,0,0
Vic Beasley,DE,26.060,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0
Ricardo Allen,S,26.262,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,1,5,0,0
Robert Alford,CB,29.309,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,0,4,0,0
Eddie Yarbrough,DE,25.138,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,3,0,3,0,0
Kyle Williams,LDT,35.091,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.5,3,1,4,2,1
TreDavious White,LCB,23.236,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,2,2,4,0,0
Adolphus Washington,DT,23.289,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,2,0,2,0,0
Jordan Poyer,FS,27.137,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,4,4,8,0,0
Lafayette Pitts,CB,25.350,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,1,0,1,0,0
Harrison Phillips,DT,22.227,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,4,0,4,2,0
Matt Milano,WLB,24.043,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,7,1,8,2,0
Shaq Lawson,LDE,24.084,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,1,0,1,0,1
Taiwan Jones,RB,30.045,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,1,0,1,0,0
Taron Johnson,CB,22.044,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,2,0,2,0,0
Micah Hyde,SS,27.252,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,2,1,3,0,0
Jerry Hughes,RDE,30.027,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,2,0,2,0,1
Andre Holmes,WR,30.085,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,1,0,1,0,0
Phillip Gaines,RCB,27.158,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,3,1,4,0,0
Tremaine Edmunds,MLB,20.130,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,1.0,3,4,7,0,1
Patrick DiMarco,FB,29.132,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,1,0,1,0,0
Rafael Bush,S,31.120,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,4,3,7,0,0
Lorenzo Alexander,SLB,35.101,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,8,0,8,0,0
Shaq Thompson,SLB,24.141,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,1.0,5,4,9,1,1
Ian Thomas,TE,22.095,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,0,1,0,0
Kawann Short,DT,29.219,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,2.0,2,0,2,2,4
Da'Norris Searcy,SS,29.297,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,2,1,3,0,0
Jared Norris,LB,25.052,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,0,1,0,0
Captain Munnerlyn,CB,30.152,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,2,0,2,0,0
Kyle Love,NT,31.295,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,1,2,0,0
Luke Kuechly,MLB,27.142,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,11,2,13,0,0
Colin Jones,DB,30.317,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,1,2,0,0
Donte Jackson,RCB,22.305,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,4,1,5,0,0
Wes Horton,DE,28.266,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,1.5,1,2,3,1,2
Bryan Cox,DE,24.076,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,1,2,0,0
James Bradberry,LCB,25.036,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,0,1,0,0
Mario Addison,DE,31.003,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,1.5,1,2,3,0,2
Mike Adams,FS,37.169,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,2,3,5,0,0
Danny Trevathan,ILB,28.169,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,5,2,7,0,0
Roquan Smith,LB,21.154,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,1.0,1,2,3,1,1
Roy Robertson-Harris,DE,25.048,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,1.0,1,0,1,1,3
Anthony Miller,WR,23.335,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,1,0,1,0,0
Khalil Mack,LB,27.199,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,1.0,2,1,3,0,0
Nick Kwiatkoski,ILB,25.106,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,4,0,4,0,0
Eddie Jackson,S,25.273,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,2,0,2,0,0
Akiem Hicks,DT,28.297,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,1.0,3,0,3,1,1
Eddie Goldman,NT,24.246,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,3,0,3,0,0
Kyle Fuller,CB,26.205,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,2,0,2,0,0
Leonard Floyd,OLB,26.001,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,1,1,2,1,0
Benny Cunningham,RB,28.064,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,1,0,1,0,0
Bryce Callahan,CB,26.321,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,8,0,8,0,0
Deon Bush,DB,25.026,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,1,0,1,0,0
Jonathan Bullard,DE,24.322,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,1,0,1,0,0
Prince Amukamara,CB,29.095,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,4,1,5,0,0
Adrian Amos,S,25.133,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,6,0,6,0,0
Shawn Williams,SS,27.119,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,2,0,2,0,0
Nick Vigil,SLB,25.020,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,11,0,11,2,0
Hardy Nickerson,LB,24.247,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,4,0,4,0,0
Tony McRae,CB,25.129,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,2,1,3,0,0
Dre Kirkpatrick,LCB,28.318,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,3,0,3,0,0
Michael Johnson,RDE,31.214,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,1,0,1,0,1
William Jackson,RCB,25.317,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,4,0,4,0,0
Ryan Glasgow,DT,24.344,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,3,2,5,1,1
Clayton Fejedelem,S,25.099,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,9,1,10,0,0
Jordan Evans,WLB,23.225,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,2,1,3,0,0
Carlos Dunlap,LDE,29.193,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,1.0,2,0,2,1,1
Darqueze Dennard,CB,26.334,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,2,1,3,0,0
Tra Carson,HB,25.320,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,1,0,1,0,0
Preston Brown,MLB,25.317,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,4,0,4,0,0
Jessie Bates,FS,21.195,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,8,0,8,0,0
Geno Atkins,DT,30.165,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,1.0,3,1,4,2,3
Denzel Ward,CB,21.134,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,2,4,6,0,0
Chris Smith,DL,26.210,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,1,2,3,0,0
Joe Schobert,MIKE,24.307,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,2,6,8,0,0
Denzel Rice,DB,25.162,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,2,1,3,0,0
Damarious Randall,S,26.011,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,4,1,5,0,0
Jabrill Peppers,S,22.340,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,3,3,6,0,0
Larry Ogunjobi,DT,24.098,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,1.0,3,4,7,1,1
Terrance Mitchell,CB,26.115,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,6,0,6,0,0
Christian Kirksey,WILL,26.009,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,3,2,5,0,0
Derrick Kindred,DB,24.268,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,2,2,4,0,0
Myles Garrett,DE,22.254,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,2.0,5,1,6,1,2
Jamie Collins,SAM,28.324,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,4,2,6,0,0
Trevon Coley,DT,24.058,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,1,2,3,0,0
Nick Chubb,RB,22.256,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,1,0,1,0,0
Orson Charles,TE,27.225,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,1,1,2,0,0
Briean Boddy-Calhoun,DB,25.231,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,4,1,5,0,0
Genard Avery,LB,23.136,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,1.0,3,1,4,0,2
Jamar Taylor,CB,27.345,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,3,0,3,0,0
Garrison Smith,DT,26.335,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,1,0,1,1,0
