player,pos,age,game_date,league_id,team,game_location,opp,game_result,game_num,week_num,game_day_of_week,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
Mohamed Sanu,WR,29.015,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,6,4,18,4.50,0,66.7%,3.00
Julio Jones,WR,29.210,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,19,10,169,16.90,0,52.6%,8.89
Austin Hooper,TE,23.306,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,4,3,24,8.00,0,75.0%,6.00
Devonta Freeman,RB,26.175,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,5,3,14,4.67,0,60.0%,2.80
Tevin Coleman,RB,25.143,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,2,1,26,26.00,0,50.0%,13.00
Logan Thomas,TE,27.070,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,2,1,24,24.00,0,50.0%,12.00
LeSean McCoy,RB,30.059,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,3,1,-1,-1.00,0,33.3%,-0.33
Jeremy Kerley,WR,29.305,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,4,2,7,3.50,0,50.0%,1.75
Zay Jones,WR,23.163,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,6,3,26,8.67,0,50.0%,4.33
Andre Holmes,WR,30.085,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,1,1,14,14.00,0,100.0%,14.00
Jason Croom,TE,24.193,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,3,2,18,9.00,0,66.7%,6.00
Kelvin Benjamin,WR,27.216,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,7,1,10,10.00,0,14.3%,1.43
Jarius Wright,WR,28.288,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,5,3,23,7.67,0,60.0%,4.60
Ian Thomas,TE,22.095,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,2,2,4,2.00,0,100.0%,2.00
Torrey Smith,WR,29.226,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,2,1,15,15.00,0,50.0%,7.50
Greg Olsen,TE,33.182,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,2,2,33,16.50,0,100.0%,16.50
Christian McCaffrey,RB,22.094,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,9,6,45,7.50,0,66.7%,5.00
Devin Funchess,WR,24.111,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,5,3,41,13.67,0,60.0%,8.20
Dion Sims,TE,27.203,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,3,2,9,4.50,0,66.7%,3.00
Allen Robinson,WR,25.016,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,7,4,61,15.25,0,57.1%,8.71
Anthony Miller,WR,23.335,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,3,2,14,7.00,0,66.7%,4.67
Jordan Howard,RB,23.311,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,5,5,25,5.00,0,100.0%,5.00
Taylor Gabriel,WR,27.204,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,5,5,25,5.00,0,100.0%,5.00
Tarik Cohen,RB,23.045,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,4,3,16,5.33,0,75.0%,4.00
Trey Burton,TE,26.315,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,5,1,15,15.00,0,20.0%,3.00
Michael Burton,FB,26.220,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,1,1,6,6.00,0,100.0%,6.00
C.J. Uzomah,TE,25.238,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,1,1,4,4.00,0,100.0%,4.00
John Ross,WR,23.286,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,2,1,3,3.00,1,50.0%,1.50
Joe Mixon,HB,22.047,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,7,5,54,10.80,0,71.4%,7.71
Tyler Kroft,TE,25.329,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,1,1,9,9.00,0,100.0%,9.00
A.J. Green,WR,30.040,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,8,6,92,15.33,1,75.0%,11.50
Tyler Eifert,TE,28.001,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,3,3,44,14.67,0,100.0%,14.67
Tyler Boyd,WR,23.298,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,5,3,26,8.67,0,60.0%,5.20
Giovani Bernard,HB,26.291,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,1,1,11,11.00,0,100.0%,11.00
David Njoku,TE,22.061,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,7,3,13,4.33,0,42.9%,1.86
Jarvis Landry,WR,25.285,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,15,7,106,15.14,0,46.7%,7.07
Duke Johnson,RB,24.351,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,6,1,8,8.00,0,16.7%,1.33
Carlos Hyde,RB,27.354,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,2,1,3,3.00,0,50.0%,1.50
Rashard Higgins,WR,23.337,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,3,1,38,38.00,0,33.3%,12.67
Josh Gordon,WR,27.149,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,3,1,17,17.00,1,33.3%,5.67
Darren Fells,TE,32.140,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,1,1,12,12.00,0,100.0%,12.00
Terrance Williams,WR,29.001,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,2,1,6,6.00,0,50.0%,3.00
Deonte Thompson,WR,29.207,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,5,3,27,9.00,0,60.0%,5.40
Geoff Swaim,TE,24.358,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,4,3,18,6.00,0,75.0%,4.50
Allen Hurns,WR,26.301,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,3,1,20,20.00,0,33.3%,6.67
Michael Gallup,WR,22.158,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,1,1,9,9.00,0,100.0%,9.00
Ezekiel Elliott,RB,23.049,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,4,3,17,5.67,0,75.0%,4.25
Cole Beasley,WR,29.136,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,8,7,73,10.43,0,87.5%,9.13
Demaryius Thomas,WR,30.258,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,10,6,63,10.50,1,60.0%,6.30
Courtland Sutton,WR,22.334,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,5,2,45,22.50,0,40.0%,9.00
